date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad,file_name
26-Feb-10,0,7.6,0,1.8, , ,0,0.1,983.8,8.3,0,14,0,230,0,20, , , , , , ,658,dly1875_galway-athenry.csv
27-Feb-10,0,8.6,0,-2.4, , ,0,0.1,985,4.3,0,9,0,170,0,14, , , , , , ,859,dly1875_galway-athenry.csv
28-Feb-10,0,8.8,0,-3.3, , ,0,0,992.9,4.9,0,17,0,290,0,24, , , , , , ,903,dly1875_galway-athenry.csv
01-Mar-10,0,10,0,-4.3, , ,0,0,1006.3,2.3,0,6,0,50,0,8, , , , , , ,1161,dly1875_galway-athenry.csv
02-Mar-10,0,8.2,0,-1.8, , ,0,0,1014.4,7.1,0,12,0,120,0,19, , , , , , ,735,dly1875_galway-athenry.csv
03-Mar-10,0,5.6,0,1.4, , ,0,12.5,1013.6,5.4,0,8,0,110,0,13, , , , , , ,214,dly1875_galway-athenry.csv
04-Mar-10,0,7.7,0,-0.9, , ,0,0,1022.1,4.7,0,9,0,60,0,13, , , , , , ,1217,dly1875_galway-athenry.csv
05-Mar-10,0,9.7,0,-4.7, , ,0,0.1,1028.4,2.4,0,6,0,320,0,9, , , , , , ,1230,dly1875_galway-athenry.csv
06-Mar-10,0,8.6,0,-4.1, , ,0,0,1025.2,2.8,0,8,0,70,0,12, , , , , , ,609,dly1875_galway-athenry.csv
07-Mar-10,0,7.8,0,-2.1, , ,0,0,1025.6,6.5,0,12,0,120,0,18, , , , , , ,1345,dly1875_galway-athenry.csv
08-Mar-10,0,7.8,0,-5.7, , ,0,0,1025.3,6.2,0,12,0,100,0,18, , , , , , ,1396,dly1875_galway-athenry.csv
09-Mar-10,0,9.2,0,-4.5, , ,0,0,1027.7,4.3,0,7,0,60,0,11, , , , , , ,1357,dly1875_galway-athenry.csv
10-Mar-10,0,8.9,0,-4.4, , ,0,0,1027.6,3.6,0,8,0,80,0,11, , , , , , ,1163,dly1875_galway-athenry.csv
11-Mar-10,0,9.4,0,-5.3, , ,0,0,1024.6,3,0,7,0,320,0,12, , , , , , ,1195,dly1875_galway-athenry.csv
12-Mar-10,0,11,0,2.1, , ,0,0.3,1025.2,6.5,0,12,0,350,0,17, , , , , , ,768,dly1875_galway-athenry.csv
13-Mar-10,0,10.7,0,1.5, , ,0,0.1,1029.4,4.4,0,10,0,320,0,14, , , , , , ,591,dly1875_galway-athenry.csv
14-Mar-10,0,11,0,-1.9, , ,0,0,1028.8,4.2,0,11,0,230,0,16, , , , , , ,984,dly1875_galway-athenry.csv
15-Mar-10,0,10.7,0,1.9, , ,0,0,1023.5,4.1,0,11,0,240,0,16, , , , , , ,1090,dly1875_galway-athenry.csv
16-Mar-10,0,9.9,0,2.7, , ,0,0,1013.4,9.4,0,16,0,160,0,28, , , , , , ,433,dly1875_galway-athenry.csv
17-Mar-10,0,13.9,0,7.8, , ,0,0.2,1006.1,9.7,0,16,0,190,0,23, , , , , , ,936,dly1875_galway-athenry.csv
18-Mar-10,0,13.6,0,8.9, , ,0,1.3,997.5,15.3,0,25,0,210,0,45, , , , , , ,483,dly1875_galway-athenry.csv
19-Mar-10,0,11.3,0,4.1, , ,0,0.2,1000.6,5.8,0,16,0,220,0,26, , , , , , ,863,dly1875_galway-athenry.csv
20-Mar-10,0,12.3,0,3.1, , ,0,0.1,1001.6,5.8,0,11,0,330,0,19, , , , , , ,1125,dly1875_galway-athenry.csv
21-Mar-10,0,12.6,0,3.7, , ,0,1.3,1003.7,7.3,0,17,0,170,0,28, , , , , , ,1088,dly1875_galway-athenry.csv
22-Mar-10,0,10.5,0,3.9, , ,0,6.2,1002.7,10.9,0,22,0,230,0,35, , , , , , ,1375,dly1875_galway-athenry.csv
23-Mar-10,0,10.2,0,5, , ,0,0.8,1000.7,9.5,0,15,0,170,0,25, , , , , , ,553,dly1875_galway-athenry.csv
24-Mar-10,0,11.8,0,4.4, , ,0,10.8,991.7,6.5,0,12,0,250,0,18, , , , , , ,1583,dly1875_galway-athenry.csv
25-Mar-10,0,13.1,0,5.8, , ,0,3.3,989.2,8.2,0,13,0,70,0,20, , , , , , ,883,dly1875_galway-athenry.csv
26-Mar-10,0,13.2,0,3.9, , ,0,0.6,990.8,3.9,0,10,0,340,0,15, , , , , , ,1026,dly1875_galway-athenry.csv
27-Mar-10,0,11.5,0,3.8, , ,0,0.3,1000.2,7.4,0,16,0,240,0,23, , , , , , ,1316,dly1875_galway-athenry.csv
28-Mar-10,0,10.7,0,2.7, , ,0,0,1000.7,3.9,0,8,0,300,0,12, , , , , , ,1245,dly1875_galway-athenry.csv
29-Mar-10,0,4.9,0,1, , ,0,26.1,990.5,11.3,0,19,0,50,0,29, , , , , , ,226,dly1875_galway-athenry.csv
30-Mar-10,0,4.7,0,2.6, , ,0,7.5,986.5,15.7,0,21,0,310,0,34, , , , , , ,451,dly1875_galway-athenry.csv
31-Mar-10,0,6.9,0,-0.8, , ,0,1.6,996.5,12.2,0,21,0,300,0,32, , , , , , ,1585,dly1875_galway-athenry.csv
01-Apr-10,0,9.6,0,-0.4, , ,0,0.4,997.1,5.2,0,11,0,230,0,16, , , , , , ,1852,dly1875_galway-athenry.csv
02-Apr-10,0,10.3,0,3.1, , ,0,7.7,988.6,7.2,0,17,0,80,0,24, , , , , , ,1042,dly1875_galway-athenry.csv
03-Apr-10,0,10.3,0,1.4, , ,0,0.3,997.6,8.2,0,16,0,310,0,29, , , , , , ,1053,dly1875_galway-athenry.csv
04-Apr-10,0,9.3,0,-1.1, , ,0,10.8,1004.9,8.3,0,17,0,180,0,29, , , , , , ,1012,dly1875_galway-athenry.csv
05-Apr-10,0,13.5,0,7.4, , ,0,21.7,999,14.4,0,27,0,190,0,40, , , , , , ,669,dly1875_galway-athenry.csv
06-Apr-10,0,11.7,0,3.2, , ,0,11.1,1003.6,5.4,0,14,0,240,0,21, , , , , , ,1122,dly1875_galway-athenry.csv
07-Apr-10,0,11.1,0,1.5, , ,0,0.8,1017.1,7.2,0,17,0,240,0,23, , , , , , ,1638,dly1875_galway-athenry.csv
08-Apr-10,0,12.4,0,5.6, , ,0,0,1024.9,5.6,0,12,0,240,0,16, , , , , , ,1282,dly1875_galway-athenry.csv
09-Apr-10,0,15.2,0,4.5, , ,0,0,1025.5,6.1,0,13,0,160,0,20, , , , , , ,1724,dly1875_galway-athenry.csv
10-Apr-10,0,18.5,0,4.5, , ,0,0,1026,5.6,0,10,0,170,0,16, , , , , , ,2124,dly1875_galway-athenry.csv
11-Apr-10,0,18.4,0,3, , ,0,0,1025.6,3.7,0,8,0,0,0,12, , , , , , ,2080,dly1875_galway-athenry.csv
12-Apr-10,0,17,0,3.1, , ,0,0,1025.4,4.9,0,9,0,50,0,14, , , , , , ,1954,dly1875_galway-athenry.csv
13-Apr-10,0,16.1,0,2.3, , ,0,0,1023.6,5,0,10,0,60,0,14, , , , , , ,1920,dly1875_galway-athenry.csv
14-Apr-10,0,12.6,0,5, , ,0,0,1021.2,6.4,0,13,0,50,0,20, , , , , , ,2029,dly1875_galway-athenry.csv
15-Apr-10,0,15,0,2.5, , ,0,0,1023.1,6.6,0,11,0,50,0,16, , , , , , ,2200,dly1875_galway-athenry.csv
16-Apr-10,0,15.4,0,1.2, , ,0,0,1023.4,4,0,8,0,80,0,12, , , , , , ,2193,dly1875_galway-athenry.csv
17-Apr-10,0,13.7,0,1, , ,0,0,1017.2,3.5,0,8,0,240,0,11, , , , , , ,1560,dly1875_galway-athenry.csv
18-Apr-10,0,13.4,0,2.1, , ,0,0,1013.2,3.3,0,8,0,270,0,13, , , , , , ,1352,dly1875_galway-athenry.csv
19-Apr-10,0,12.5,0,1.2, , ,0,0.6,1015.2,5.3,0,9,0,280,0,15, , , , , , ,1871,dly1875_galway-athenry.csv
20-Apr-10,0,11.6,0,-1.8, , ,0,0,1017.8,4.2,0,9,0,350,0,14, , , , , , ,1503,dly1875_galway-athenry.csv
21-Apr-10,0,12.1,0,-1.1, , ,0,0,1018.2,4.8,0,9,0,110,0,15, , , , , , ,2176,dly1875_galway-athenry.csv
22-Apr-10,0,13,0,3.4, , ,0,0,1013.4,4.2,0,8,0,100,0,15, , , , , , ,1676,dly1875_galway-athenry.csv
23-Apr-10,0,15.7,0,5.9, , ,0,0,1008.3,5.6,0,10,0,200,0,15, , , , , , ,1773,dly1875_galway-athenry.csv
24-Apr-10,0,15,0,6.1, , ,0,6,1006,6.3,0,12,0,150,0,19, , , , , , ,841,dly1875_galway-athenry.csv
25-Apr-10,0,15.2,0,9.2, , ,0,2.1,1010.3,8,0,15,0,240,0,21, , , , , , ,1733,dly1875_galway-athenry.csv
26-Apr-10,0,16.8,0,9.4, , ,0,1.2,1017.9,5,0,10,0,250,0,14, , , , , , ,1487,dly1875_galway-athenry.csv
27-Apr-10,0,14.8,0,10.6, , ,0,5,1014.2,9.9,0,16,0,160,0,24, , , , , , ,561,dly1875_galway-athenry.csv
28-Apr-10,0,16.4,0,9.3, , ,0,1.4,1007.6,11.4,0,19,0,230,0,26, , , , , , ,946,dly1875_galway-athenry.csv
29-Apr-10,0,13.4,0,6.8, , ,0,0.6,1004.7,8,0,16,0,230,0,23, , , , , , ,1951,dly1875_galway-athenry.csv
30-Apr-10,0,14.5,0,7.3, , ,0,7.1,1002.5,6.6,0,13,0,230,0,18, , , , , , ,1698,dly1875_galway-athenry.csv
01-May-10,0,13,0,7.3, , ,0,8.8,1006.9,4,0,11,0,320,0,21, , , , , , ,1443,dly1875_galway-athenry.csv
02-May-10,0,11.8,0,4.8, , ,0,0.4,1016.1,9.2,0,15,0,340,0,28, , , , , , ,1931,dly1875_galway-athenry.csv
03-May-10,0,13,0,3.3, , ,0,0,1025.2,7.8,0,13,0,350,0,21, , , , , , ,2179,dly1875_galway-athenry.csv
04-May-10,0,13.2,0,3, , ,0,0,1027.2,6,0,10,0,310,0,15, , , , , , ,1331,dly1875_galway-athenry.csv
05-May-10,0,14.7,0,8.4, , ,0,0.3,1020.2,7.3,0,13,0,310,0,19, , , , , , ,732,dly1875_galway-athenry.csv
06-May-10,0,14.6,0,6.1, , ,0,0,1013,9.8,0,15,0,350,0,24, , , , , , ,1478,dly1875_galway-athenry.csv
07-May-10,0,12.8,0,2.7, , ,0,0,1013.1,8.2,0,15,0,60,0,23, , , , , , ,1618,dly1875_galway-athenry.csv
08-May-10,0,15,0,2.8, , ,0,0,1014.3,7.8,0,15,0,60,0,22, , , , , , ,2665,dly1875_galway-athenry.csv
09-May-10,0,14.9,0,0.7, , ,0,0,1012.2,6.1,0,13,0,350,0,21, , , , , , ,2159,dly1875_galway-athenry.csv
10-May-10,0,11.8,0,3.3, , ,0,0,1013.3,8.3,0,15,0,350,0,25, , , , , , ,1918,dly1875_galway-athenry.csv
11-May-10,0,11.8,0,0.3, , ,0,1.5,1013.2,5.2,0,12,0,230,0,18, , , , , , ,1933,dly1875_galway-athenry.csv
12-May-10,0,12.3,0,0.4, , ,0,0.1,1012.5,5.1,0,10,0,350,0,18, , , , , , ,2260,dly1875_galway-athenry.csv
13-May-10,0,12.2,0,5.4, , ,0,1.5,1006,7,0,14,0,240,0,20, , , , , , ,1065,dly1875_galway-athenry.csv
14-May-10,0,14.6,0,2.4, , ,0,0.5,1007.6,7.9,0,16,0,320,0,23, , , , , , ,2265,dly1875_galway-athenry.csv
15-May-10,0,13.2,0,4.6, , ,0,2.9,1011.3,8.5,0,16,0,220,0,25, , , , , , ,1824,dly1875_galway-athenry.csv
16-May-10,0,14.8,0,0.2, , ,0,0,1014,5.5,0,13,0,280,0,22, , , , , , ,2157,dly1875_galway-athenry.csv
17-May-10,0,14.9,0,3.2, , ,0,0,1019.3,3.7,0,9,0,240,0,14, , , , , , ,1756,dly1875_galway-athenry.csv
18-May-10,0,14.2,0,7, , ,0,5.9,1019.3,6.7,0,12,0,150,0,18, , , , , , ,544,dly1875_galway-athenry.csv
19-May-10,0,18.1,0,11.7, , ,0,1.1,1021.2,5.4,0,8,0,220,0,12, , , , , , ,1131,dly1875_galway-athenry.csv
20-May-10,0,22.1,0,12.3, , ,0,0.1,1025.6,4.2,0,9,0,210,0,14, , , , , , ,2098,dly1875_galway-athenry.csv
