date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad,file_name
27-Jan-11,0,5.4,0,-1.7, , ,0,0,1021.2,5,0,9,0,90,0,14, , , , , , ,287,dly2075_donnegal-finner.csv
28-Jan-11,0,3.8,0,-0.3, , ,0,0,1022.3,2.4,0,5,0,340,0,10, , , , , , ,234,dly2075_donnegal-finner.csv
29-Jan-11,0,4.5,0,-3.5, , ,0,0,1022.2,2.2,0,5,0,120,0,6, , , , , , ,401,dly2075_donnegal-finner.csv
30-Jan-11,0,6.1,0,-0.3, , ,0,0,1019.5,5.3,0,13,0,210,0,16, , , , , , ,210,dly2075_donnegal-finner.csv
31-Jan-11,0,10.1,0,4.9, , ,0,3.9,1013.5,15.6,0,24,0,210,0,34, , , , , , ,259,dly2075_donnegal-finner.csv
01-Feb-11,0,9.8,0,6.1, , ,0,0.6,1013.6,12.9,0,23,0,190,0,37, , , , , , ,472,dly2075_donnegal-finner.csv
02-Feb-11,0,10.9,0,3.1, , ,0,6.4,1006.6,19.3,0,27,0,210,0,42, , , , , , ,285,dly2075_donnegal-finner.csv
03-Feb-11,0,9.2,0,2.5, , ,0,8.1,1002,24.7,0,39,0,250,0,57, , , , , , ,208,dly2075_donnegal-finner.csv
04-Feb-11,0,12.9,0,4.9, , ,0,9.5,995.2,22.9,0,39,0,230,0,54, , , , , , ,99,dly2075_donnegal-finner.csv
05-Feb-11,0,8,0,5.1, , ,0,8,1001.8,7.2,0,19,0,250,0,28, , , , , , ,150,dly2075_donnegal-finner.csv
06-Feb-11,0,7.1,0,4.8, , ,0,6.3,1002.9,4.5,0,9,0,270,0,13, , , , , , ,308,dly2075_donnegal-finner.csv
07-Feb-11,0,7.7,0,1.9, , ,0,28.6,1000.4,12.5,0,23,0,280,0,35, , , , , , ,444,dly2075_donnegal-finner.csv
08-Feb-11,0,9.3,0,1.8, , ,0,0.4,1006.9,10.9,0,18,0,130,0,29, , , , , , ,276,dly2075_donnegal-finner.csv
09-Feb-11,0,10.1,0,5.8, , ,0,6.4,1003.5,7.6,0,16,0,200,0,25, , , , , , ,103,dly2075_donnegal-finner.csv
10-Feb-11,0,8.1,0,0.3, , ,0,0,1004.2,6.8,0,15,0,120,0,20, , , , , , ,663,dly2075_donnegal-finner.csv
11-Feb-11,0,11.1,0,3.5, , ,0,2.9,1000.9,8.5,0,15,0,160,0,22, , , , , , ,229,dly2075_donnegal-finner.csv
12-Feb-11,0,7.7,0,1.3, , ,0,3.5,996.6,9.6,0,22,0,170,0,34, , , , , , ,377,dly2075_donnegal-finner.csv
13-Feb-11,0,7.1,0,1.3, , ,0,0.2,988.3,3.6,0,10,0,250,0,12, , , , , , ,414,dly2075_donnegal-finner.csv
14-Feb-11,0,6.6,0,0.7, , ,0,2.4,987.8,8.5,0,21,0,230,0,28, , , , , , ,626,dly2075_donnegal-finner.csv
15-Feb-11,0,6.6,0,0.3, , ,0,2.5,979.4,10.8,0,17,0,110,0,27, , , , , , ,209,dly2075_donnegal-finner.csv
16-Feb-11,0,9.7,0,0.3, , ,0,0.5,985.3,6,0,12,0,210,0,18, , , , , , ,777,dly2075_donnegal-finner.csv
17-Feb-11,0,8.1,0,-1, , ,0,0,998.5,4.8,0,8,0,120,0,12, , , , , , ,599,dly2075_donnegal-finner.csv
18-Feb-11,0,8.8,0,2.7, , ,0,11.6,998.2,11.5,0,18,0,120,0,29, , , , , , ,214,dly2075_donnegal-finner.csv
19-Feb-11,0,11.5,0,5.7, , ,0,0,998.9,8.1,0,17,0,160,0,24, , , , , , ,694,dly2075_donnegal-finner.csv
20-Feb-11,0,10.4,0,7.2, , ,0,1.2,1001.7,13.1,0,17,0,120,0,27, , , , , , ,264,dly2075_donnegal-finner.csv
21-Feb-11,0,10.8,0,6.3, , ,0,0.6,1003.6,5.3,0,13,0,170,0,18, , , , , , ,701,dly2075_donnegal-finner.csv
22-Feb-11,0,11.4,0,7.1, , ,0,5.7,1004.5,6.4,0,11,0,210,0,16, , , , , , ,181,dly2075_donnegal-finner.csv
23-Feb-11,0,13.6,0,10.1, , ,0,0.8,1003.6,12.7,0,22,0,200,0,31, , , , , , ,470,dly2075_donnegal-finner.csv
24-Feb-11,0,13.7,0,10.2, , ,0,0,1008.3,14.2,0,20,0,200,0,32, , , , , , ,626,dly2075_donnegal-finner.csv
25-Feb-11,0,13.2,0,7.1, , ,0,5.2,1007.5,14.3,0,23,0,200,0,35, , , , , , ,652,dly2075_donnegal-finner.csv
26-Feb-11,0,8.6,0,4.5, , ,0,1.5,1011.8,12.2,0,18,0,280,0,28, , , , , , ,839,dly2075_donnegal-finner.csv
27-Feb-11,0,9.5,0,1, , ,0,5,1021.4,11.2,0,20,0,290,0,34, , , , , , ,1015,dly2075_donnegal-finner.csv
28-Feb-11,0,9.4,0,-0.6, , ,0,0,1030.6,2.9,0,6,0,120,0,9, , , , , , ,921,dly2075_donnegal-finner.csv
01-Mar-11,0,11.2,0,3.6, , ,0,0.1,1034.1,5,0,12,0,180,0,18, , , , , , ,1082,dly2075_donnegal-finner.csv
02-Mar-11,0,9.5,0,2.1, , ,0,0,1032.4,4.8,0,11,0,190,0,17, , , , , , ,643,dly2075_donnegal-finner.csv
03-Mar-11,0,11.7,0,2.9, , ,0,0,1033.4,4.4,0,8,0,110,0,12, , , , , , ,1016,dly2075_donnegal-finner.csv
04-Mar-11,0,8.4,0,1.6, , ,0,0,1030.3,3.8,0,8,0,110,0,10, , , , , , ,282,dly2075_donnegal-finner.csv
05-Mar-11,0,10.8,0,4.6, , ,0,0.1,1028.1,4.6,0,9,0,110,0,12, , , , , , ,552,dly2075_donnegal-finner.csv
06-Mar-11,0,8,0,5.2, , ,0,0.2,1026.3,5.8,0,10,0,110,0,13, , , , , , ,243,dly2075_donnegal-finner.csv
07-Mar-11,0,9.9,0,5.3, , ,0,0.2,1021.6,4.6,0,10,0,200,0,13, , , , , , ,474,dly2075_donnegal-finner.csv
08-Mar-11,0,10.1,0,4.8, , ,0,2.6,1011.3,16.1,0,28,0,280,0,41, , , , , , ,444,dly2075_donnegal-finner.csv
09-Mar-11,0,9.3,0,3.1, , ,0,5.2,1003.7,22.7,0,31,0,270,0,43, , , , , , ,697,dly2075_donnegal-finner.csv
10-Mar-11,0,8.8,0,2.7, , ,0,4.2,1001.6,24.7,0,36,0,250,0,48, , , , , , ,775,dly2075_donnegal-finner.csv
11-Mar-11,0,6.3,0,1.4, , ,0,6.2,1002,8.1,0,21,0,240,0,27, , , , , , ,405,dly2075_donnegal-finner.csv
12-Mar-11,0,5.5,0,0.4, , ,0,7.6,995.2,5.1,0,12,0,340,0,17, , , , , , ,506,dly2075_donnegal-finner.csv
13-Mar-11,0,5.7,0,2.7, , ,0,5.4,999.7,14.9,0,24,0,20,0,34, , , , , , ,649,dly2075_donnegal-finner.csv
14-Mar-11,0,7.7,0,2, , ,0,0.4,1010,8.7,0,19,0,20,0,29, , , , , , ,637,dly2075_donnegal-finner.csv
15-Mar-11,0,8.4,0,0.5, , ,0,0,1012.6,4.4,0,8,0,280,0,11, , , , , , ,1432,dly2075_donnegal-finner.csv
16-Mar-11,0,12.1,0,0, , ,0,0,1010.1,7.4,0,12,0,200,0,19, , , , , , ,1466,dly2075_donnegal-finner.csv
17-Mar-11,0,8.2,0,0.7, , ,0,1.8,1011.6,9.5,0,16,0,290,0,22, , , , , , ,1047,dly2075_donnegal-finner.csv
18-Mar-11,0,8.8,0,-0.2, , ,0,1.9,1020.2,7.2,0,15,0,210,0,19, , , , , , ,958,dly2075_donnegal-finner.csv
19-Mar-11,0,11.4,0,0.5, , ,0,0.1,1022.4,9.4,0,15,0,160,0,24, , , , , , ,878,dly2075_donnegal-finner.csv
20-Mar-11,0,12.4,0,7.5, , ,0,0.1,1021.1,9.9,0,14,0,250,0,20, , , , , , ,742,dly2075_donnegal-finner.csv
21-Mar-11,0,16,0,7.9, , ,0,0.4,1026.8,9.2,0,18,0,230,0,28, , , , , , ,968,dly2075_donnegal-finner.csv
22-Mar-11,0,13,0,8.1, , ,0,0,1032.8,4.8,0,10,0,240,0,13, , , , , , ,454,dly2075_donnegal-finner.csv
23-Mar-11,0,14.8,0,5.3, , ,0,0,1034.8,4.4,0,8,0,310,0,11, , , , , , ,1161,dly2075_donnegal-finner.csv
24-Mar-11,0,16.4,0,2.9, , ,0,0,1029.4,5.3,0,9,0,120,0,12, , , , , , ,1540,dly2075_donnegal-finner.csv
25-Mar-11,0,12.9,0,2.6, , ,0,0,1020.2,6.3,0,12,0,60,0,18, , , , , , ,1511,dly2075_donnegal-finner.csv
26-Mar-11,0,13.3,0,4.9, , ,0,0,1013.5,3.9,0,10,0,30,0,15, , , , , , ,1122,dly2075_donnegal-finner.csv
27-Mar-11,0,12.3,0,3.3, , ,0,0,1012.5,4.6,0,8,0,320,0,12, , , , , , ,1493,dly2075_donnegal-finner.csv
28-Mar-11,0,11.2,0,1.9, , ,0,0,1010.6,5.4,0,8,0,110,0,11, , , , , , ,991,dly2075_donnegal-finner.csv
29-Mar-11,0,11.4,0,5.3, , ,0,0.5,1004.3,5.9,0,9,0,120,0,14, , , , , , ,346,dly2075_donnegal-finner.csv
30-Mar-11,0,13.3,0,8.5, , ,0,1.3,996.5,10.4,0,20,0,260,0,25, , , , , , ,1351,dly2075_donnegal-finner.csv
31-Mar-11,0,15.3,0,8.9, , ,0,3,992.1,16.2,0,48,0,260,0,64, , , , , , ,1257,dly2075_donnegal-finner.csv
01-Apr-11,0,15.9,0,6.6, , ,0,14,995.4,16.3,0,23,0,180,0,37, , , , , , ,534,dly2075_donnegal-finner.csv
02-Apr-11,0,13.6,0,5.3, , ,0,7.7,998.2,8.9,0,20,0,210,0,34, , , , , , ,1430,dly2075_donnegal-finner.csv
03-Apr-11,0,11.5,0,5.6, , ,0,0.1,1005,12.1,0,22,0,260,0,30, , , , , , ,1457,dly2075_donnegal-finner.csv
04-Apr-11,0,15.4,0,6.3, , ,0,4.7,1002.2,18.8,0,30,0,190,0,42, , , , , , ,1196,dly2075_donnegal-finner.csv
05-Apr-11,0,14.9,0,11.9, , ,0,3.8,1002.6,15.4,0,20,0,230,0,29, , , , , , ,435,dly2075_donnegal-finner.csv
06-Apr-11,0,15.9,0,9, , ,0,6.6,1013.1,15.1,0,21,0,200,0,29, , , , , , ,573,dly2075_donnegal-finner.csv
07-Apr-11,0,11.9,0,6.8, , ,0,0.1,1022.9,7.7,0,10,0,280,0,14, , , , , , ,1970,dly2075_donnegal-finner.csv
08-Apr-11,0,18.2,0,3.6, , ,0,0,1023.1,5,0,11,0,120,0,13, , , , , , ,1737,dly2075_donnegal-finner.csv
09-Apr-11,0,19.1,0,7.7, , ,0,0,1017.1,9.3,0,16,0,150,0,24, , , , , , ,1271,dly2075_donnegal-finner.csv
10-Apr-11,0,17.3,0,9.9, , ,0,0,1017.8,6.5,0,17,0,220,0,21, , , , , , ,1019,dly2075_donnegal-finner.csv
11-Apr-11,0,12.3,0,4.9, , ,0,3,1019.7,15.6,0,25,0,260,0,36, , , , , , ,1776,dly2075_donnegal-finner.csv
12-Apr-11,0,12.2,0,4.9, , ,0,1,1021,12.8,0,20,0,270,0,35, , , , , , ,1529,dly2075_donnegal-finner.csv
13-Apr-11,0,15.9,0,5.3, , ,0,7.8,1011.2,10,0,18,0,180,0,30, , , , , , ,1032,dly2075_donnegal-finner.csv
14-Apr-11,0,12.2,0,8.2, , ,0,0,1011.7,6.2,0,11,0,280,0,15, , , , , , ,1318,dly2075_donnegal-finner.csv
15-Apr-11,0,13.9,0,7.2, , ,0,0.7,1014.6,5.5,0,11,0,260,0,14, , , , , , ,834,dly2075_donnegal-finner.csv
16-Apr-11,0,11.8,0,7.7, , ,0,0.3,1018.5,6.4,0,13,0,280,0,17, , , , , , ,1293,dly2075_donnegal-finner.csv
17-Apr-11,0,16.1,0,7.7, , ,0,0,1019.5,5,0,10,0,120,0,14, , , , , , ,1658,dly2075_donnegal-finner.csv
18-Apr-11,0,18.5,0,5.1, , ,0,0,1012.5,8.2,0,18,0,160,0,25, , , , , , ,1840,dly2075_donnegal-finner.csv
19-Apr-11,0,16.4,0,6.2, , ,0,0,1010.9,5.2,0,9,0,110,0,13, , , , , , ,1877,dly2075_donnegal-finner.csv
20-Apr-11,0,17.9,0,9.5, , ,0,0,1011.8,6.2,0,10,0,260,0,13, , , , , , ,1392,dly2075_donnegal-finner.csv
21-Apr-11,0,20.7,0,9.4, , ,0,0.3,1007.8,6.1,0,10,0,100,0,16, , , , , , ,1595,dly2075_donnegal-finner.csv
22-Apr-11,0,21.1,0,9.1, , ,0,0.1,1000.9,11,0,17,0,160,0,26, , , , , , ,1535,dly2075_donnegal-finner.csv
23-Apr-11,0,12.6,0,7.2, , ,0,0,1008.8,10,0,19,0,280,0,23, , , , , , ,2371,dly2075_donnegal-finner.csv
24-Apr-11,0,13.1,0,8.1, , ,0,0.7,1017.8,6.9,0,14,0,260,0,17, , , , , , ,1706,dly2075_donnegal-finner.csv
25-Apr-11,0,13.7,0,6.8, , ,0,0,1025.4,6.9,0,14,0,350,0,18, , , , , , ,2154,dly2075_donnegal-finner.csv
26-Apr-11,0,16.1,0,5.4, , ,0,0,1025.1,7.2,0,12,0,80,0,20, , , , , , ,2288,dly2075_donnegal-finner.csv
27-Apr-11,0,15.4,0,6.2, , ,0,0.3,1022.4,5.5,0,10,0,110,0,15, , , , , , ,978,dly2075_donnegal-finner.csv
28-Apr-11,0,19.4,0,7.4, , ,0,0,1018.5,7.2,0,10,0,120,0,14, , , , , , ,2268,dly2075_donnegal-finner.csv
29-Apr-11,0,18.5,0,5, , ,0,0,1013.7,8.3,0,14,0,90,0,19, , , , , , ,2361,dly2075_donnegal-finner.csv
30-Apr-11,0,18.9,0,8.5, , ,0,0,1010.1,12.4,0,17,0,100,0,26, , , , , , ,2219,dly2075_donnegal-finner.csv
