date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,sun,dos,soil,pe,evap,smd_wd,smd_md,smd_pd,file_name
01-Sep-45,0,19.2,0,14.4,0,13.6,0,0.2,1013.8,12,0,20,0,90,0,27,1.6,0, ,1.6,2.3, , , ,dly518_clare-shannonairport.csv
02-Sep-45,0,20.7,0,14.8,0,13.4,3,0,1018.2,7.3,0,12,0,100,0,16,9.3,0, ,2.5,3.5, , , ,dly518_clare-shannonairport.csv
03-Sep-45,0,23.3,0,11.8,0,9.6,3,0,1021.2,4.2,0,8,0,100,0,12,11.4,0, ,2.9,3.9, , , ,dly518_clare-shannonairport.csv
04-Sep-45,0,21.6,0,9.4,0,6.7,3,0,1024.2,6.2,0,13,0,310,0,18,5.3,0, ,2,2.7, , , ,dly518_clare-shannonairport.csv
05-Sep-45,0,21.3,0,12.2,0,11.3,3,0,1024.9,4.9,0,9,0,100,0,13,3.6,0, ,1.8,2.4, , , ,dly518_clare-shannonairport.csv
06-Sep-45,0,20.5,0,12.8,0,10.3,2,0,1025.2,6,0,11,0,180,0,15,3.3,0, ,1.9,2.5, , , ,dly518_clare-shannonairport.csv
07-Sep-45,0,19.4,0,8.2,0,8.9,3,0,1023.2,6.9,0,10,0,100,0,13,10.4,0, ,2.3,3.3, , , ,dly518_clare-shannonairport.csv
08-Sep-45,0,19.9,0,5.7,0,3.3,0,0.1,1019.8,5.1,0,9,0,100,0,13,5.2,0, ,2.4,3.1, , , ,dly518_clare-shannonairport.csv
09-Sep-45,0,19.2,0,11,0,10.1,0,4.2,1013.5,13.8,0,24,0,150,0,32,1,0, ,1.5,2.2, , , ,dly518_clare-shannonairport.csv
10-Sep-45,0,21.2,0,15.1,0,14.3,0,4.5,1007.9,12.7,0,23,0,150,0,33,5.6,0, ,2,2.9, , , ,dly518_clare-shannonairport.csv
11-Sep-45,0,21.3,0,14.1,0,13.4,0,0.4,1014,12.9,0,24,0,200,0,34,1.7,0, ,1.4,2.1, , , ,dly518_clare-shannonairport.csv
12-Sep-45,0,19.1,0,12.9,0,13.3,0,3.7,1010.3,17.2,0,36,0,240,0,49,2.2,0, ,1.4,2.2, , , ,dly518_clare-shannonairport.csv
