date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad,file_name
08-Oct-03,0,16.9,0,12.1, , ,0,0,1007.2,11.3,0,19,0,280,0,35, , , , , , ,723,dly675_cavan-ballyhaise.csv
09-Oct-03,0,16.2,0,10.3, , ,0,2.2,1005.2,10.7,0,17,0,240,0,30, , , , , , ,290,dly675_cavan-ballyhaise.csv
10-Oct-03,0,14.3,0,7.5, , ,0,0,1007.6,6.2,0,12,0,280,0,20, , , , , , ,504,dly675_cavan-ballyhaise.csv
11-Oct-03,0,15.1,0,8.3, , ,0,1.2,1011.2,3,0,7,0,190,0,11, , , , , , ,369,dly675_cavan-ballyhaise.csv
12-Oct-03,0,14.8,0,11.4, , ,0,0.2,1009.9,6.8,0,14,0,130,0,20, , , , , , ,375,dly675_cavan-ballyhaise.csv
13-Oct-03,0,14.6,0,10.8, , ,0,1.5,1009.2,5.4,0,9,0,130,0,14, , , , , , ,176,dly675_cavan-ballyhaise.csv
14-Oct-03,0,14.4,0,11.6, , ,0,0,1013.3,5.4,0,9,0,120,0,15, , , , , , ,473,dly675_cavan-ballyhaise.csv
15-Oct-03,0,13.5,0,3.6, , ,0,0,1017.3,5.6,0,11,0,90,0,19, , , , , , ,808,dly675_cavan-ballyhaise.csv
16-Oct-03,0,14,0,4.3, , ,0,0.2,1018.2,5.9,0,12,0,110,0,20, , , , , , ,1003,dly675_cavan-ballyhaise.csv
17-Oct-03,0,13,0,4.6, , ,0,0.3,1015,6,0,12,0,100,0,21, , , , , , ,1007,dly675_cavan-ballyhaise.csv
18-Oct-03,0,13,0,2.7, , ,0,0,1010.8,4.5,0,10,0,70,0,16, , , , , , ,824,dly675_cavan-ballyhaise.csv
19-Oct-03,0,9.1,0,1.7, , ,0,0,1008.2,5,0,11,0,70,0,19, , , , , , ,409,dly675_cavan-ballyhaise.csv
20-Oct-03,0,9.5,0,-1.2, , ,0,0.1,1007.2,3.5,0,8,0,310,0,14, , , , , , ,748,dly675_cavan-ballyhaise.csv
21-Oct-03,0,8.5,0,-1.7, , ,0,2.2,1003.7,5,0,11,0,30,0,19, , , , , , ,838,dly675_cavan-ballyhaise.csv
22-Oct-03,0,7.6,0,1, , ,0,1.1,1005.8,7.4,0,14,0,40,0,23, , , , , , ,458,dly675_cavan-ballyhaise.csv
23-Oct-03,0,10.7,0,-0.5, , ,0,0.4,1013.5,3.3,0,9,0,10,0,14, , , , , , ,814,dly675_cavan-ballyhaise.csv
24-Oct-03,0,10.3,0,-2, , ,0,0.3,1018.2,3.4,0,10,0,10,0,20, , , , , , ,716,dly675_cavan-ballyhaise.csv
25-Oct-03,0,9.9,0,-1.1, , ,0,0.5,1014.8,5.6,0,15,0,310,0,24, , , , , , ,416,dly675_cavan-ballyhaise.csv
26-Oct-03,0,10.9,0,0.9, , ,0,0.1,1011,2.4,0,5,0,310,0,7, , , , , , ,710,dly675_cavan-ballyhaise.csv
27-Oct-03,0,11.9,0,0.8, , ,0,0,1010,3.9,0,7,0,240,0,12, , , , , , ,482,dly675_cavan-ballyhaise.csv
28-Oct-03,0,11.1,0,5.8, , ,0,2.7,998.8,4.4,0,9,0,330,0,14, , , , , , ,163,dly675_cavan-ballyhaise.csv
29-Oct-03,0,8.5,0,1.2, , ,0,5.7,986.7,6.1,0,14,0,310,0,25, , , , , , ,441,dly675_cavan-ballyhaise.csv
30-Oct-03,0,8,0,-0.5, , ,0,1.7,973.9,7.5,0,14,0,90,0,25, , , , , , ,176,dly675_cavan-ballyhaise.csv
31-Oct-03,0,11,0,5, , ,0,0.1,977.5,10.4,0,16,0,50,0,31, , , , , , ,430,dly675_cavan-ballyhaise.csv
01-Nov-03,0,10.3,0,0.8, , ,0,6.5,980,8.2,0,21,0,170,0,32, , , , , , ,282,dly675_cavan-ballyhaise.csv
02-Nov-03,0,10.5,0,6.4, , ,0,5.4,969.8,8.9,0,15,0,220,0,24, , , , , , ,512,dly675_cavan-ballyhaise.csv
03-Nov-03,0,11.1,0,5, , ,0,1.1,987.5,9.1,0,19,0,280,0,30, , , , , , ,574,dly675_cavan-ballyhaise.csv
04-Nov-03,0,15,0,5.1, , ,0,0,1001.5,12.4,0,21,0,180,0,33, , , , , , ,204,dly675_cavan-ballyhaise.csv
05-Nov-03,0,14.6,0,11.4, , ,0,2.4,998,16.4,0,22,0,160,0,39, , , , , , ,121,dly675_cavan-ballyhaise.csv
06-Nov-03,0,14.9,0,4.6, , ,0,0,1006.4,7.6,0,15,0,130,0,25, , , , , , ,614,dly675_cavan-ballyhaise.csv
07-Nov-03,0,15.9,0,7.5, , ,0,0,1012.5,7.4,0,12,0,130,0,22, , , , , , ,531,dly675_cavan-ballyhaise.csv
08-Nov-03,0,9.1,0,7.2, , ,0,0,1008.8,9.7,0,14,0,100,0,26, , , , , , ,115,dly675_cavan-ballyhaise.csv
09-Nov-03,0,13.3,0,6.2, , ,0,0.1,1000.3,9.5,0,16,0,120,0,27, , , , , , ,242,dly675_cavan-ballyhaise.csv
10-Nov-03,0,12.8,0,7.4, , ,0,0.2,1005.1,6.5,0,11,0,170,0,18, , , , , , ,556,dly675_cavan-ballyhaise.csv
11-Nov-03,0,11.7,0,8.3, , ,0,22.8,999.7,10.4,0,15,0,130,0,26, , , , , , ,91,dly675_cavan-ballyhaise.csv
12-Nov-03,0,11.4,0,3.7, , ,0,1.9,1000.9,6.2,0,12,0,170,0,18, , , , , , ,471,dly675_cavan-ballyhaise.csv
13-Nov-03,0,10.6,0,4.2, , ,0,3.8,995.5,7.5,0,19,0,140,0,32, , , , , , ,185,dly675_cavan-ballyhaise.csv
14-Nov-03,0,10.9,0,7.8, , ,0,6.7,986.4,12.1,0,18,0,290,0,28, , , , , , ,152,dly675_cavan-ballyhaise.csv
15-Nov-03,0,9.3,0,3, , ,0,0.1,1002.6,6,0,10,0,270,0,16, , , , , , ,342,dly675_cavan-ballyhaise.csv
16-Nov-03,0,9.4,0,1.5, , ,0,0.9,1007.8,4.5,0,8,0,220,0,17, , , , , , ,456,dly675_cavan-ballyhaise.csv
17-Nov-03,0,13.1,0,7.6, , ,0,2.4,1003.9,8.3,0,14,0,240,0,23, , , , , , ,89,dly675_cavan-ballyhaise.csv
18-Nov-03,0,13.3,0,11.8, , ,0,0.2,1003.2,13.4,0,19,0,240,0,30, , , , , , ,61,dly675_cavan-ballyhaise.csv
19-Nov-03,0,12.8,0,8.5, , ,0,3.9,1003.6,7.5,0,19,0,260,0,31, , , , , , ,163,dly675_cavan-ballyhaise.csv
