date,ind,maxtp,ind.1,mintp,igmin,gmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad,file_name
08-Nov-73,0,13.6,0,10.6,0,8.2,0,0.6,1010.7,17.6,0,23,0,240,0,37,9.725,0.6,0.9, , , , ,dly875_westmeath-mullingar.csv
09-Nov-73,0,12.3,0,7.1,0,10.5,0,13.9,1004.2,14.8,0,21,0,230,0,36,10.175,0.4,0.7, , , , ,dly875_westmeath-mullingar.csv
10-Nov-73,0,9.8,0,2.7,0,2.8,0,1.3,1003.9,10.4,0,19,0,300,0,36,8.6,0.4,0.5, , , , ,dly875_westmeath-mullingar.csv
11-Nov-73,0,8.2,0,1.9,1,-0.2,0,0.8,1011.2,9.3,0,17,0,280,0,29,6.05,0.4,0.6, , , , ,dly875_westmeath-mullingar.csv
12-Nov-73,0,12.6,0,6.5,1,-1.5,0,5.2,1004.2,20,0,25,0,260,0,45,8.05,0.7,1, , , , ,dly875_westmeath-mullingar.csv
13-Nov-73,0,9.8,0,5.1,0,4.6,0,0.4,1000.2,14.1,0,19,0,280,0,32,7.5,0.6,0.8, , , , ,dly875_westmeath-mullingar.csv
14-Nov-73,0,10.6,0,4,0,2.2,0,5.1,997.8,9,0,17,0,280,0,33,6.95,0.3,0.5, , , , ,dly875_westmeath-mullingar.csv
15-Nov-73,0,8.8,0,4.8,0,2.7,2,0,998.9,9,0,13,0,290,0,22,6.975,0.4,0.5, , , , ,dly875_westmeath-mullingar.csv
16-Nov-73,0,6.8,1,-4.2,1,-0.5,0,0.1,1006.8,6,0,14,0,330,0,23,5.65,0.2,0.3, , , , ,dly875_westmeath-mullingar.csv
17-Nov-73,0,8.1,1,-4.8,1,-8.5,2,0,1009.2,6.5,0,19,0,180,0,30,3.45,0.2,0.3, , , , ,dly875_westmeath-mullingar.csv
18-Nov-73,0,12.2,0,7.7,1,-4.2,0,0.1,1000.9,13,0,18,0,180,0,30,6.9,0.6,0.8, , , , ,dly875_westmeath-mullingar.csv
19-Nov-73,0,8.1,1,-3.4,1,-2.3,3,0,1011.3,4.7,0,11,0,350,0,21,6.15,0,0.1, , , , ,dly875_westmeath-mullingar.csv
20-Nov-73,0,7.2,1,-4.7,1,-8.9,3,0,1019.6,2.1,0,9,0,160,0,15,3.425,0,0.1, , , , ,dly875_westmeath-mullingar.csv
21-Nov-73,0,10.3,0,2.4,1,-4.4,3,0,1016.2,5.1,0,11,0,170,0,17,5.525,0.2,0.3, , , , ,dly875_westmeath-mullingar.csv
22-Nov-73,0,9.7,0,3.6,1,-0.9,0,0.3,1011.7,5.1,0,11,0,150,0,18,6,0.3,0.4, , , , ,dly875_westmeath-mullingar.csv
23-Nov-73,0,10.6,0,8.1,0,6.9,2,0,1011.2,8.6,0,17,0,250,0,29,7.65,0.5,0.6, , , , ,dly875_westmeath-mullingar.csv
24-Nov-73,0,11.5,0,5.5,0,8.4,0,1.7,1005.8,13.1,0,24,0,260,0,43,8.075,0.6,0.8, , , , ,dly875_westmeath-mullingar.csv
25-Nov-73,0,6.1,1,-1.4,0,0.8,0,1.1,1014.8,5.4,0,10,0,320,0,18,5.975,0,0, , , , ,dly875_westmeath-mullingar.csv
26-Nov-73,0,3.2,1,-3.5,1,-6.3,3,0,1022.2,5.6,0,9,0,300,0,15,3.05,0,0, , , , ,dly875_westmeath-mullingar.csv
27-Nov-73,0,7.6,0,0.1,1,-2.8,0,5.5,1021,5.3,0,15,0,280,0,26,3.275,0.2,0.2, , , , ,dly875_westmeath-mullingar.csv
28-Nov-73,0,11.2,0,2.2,0,2.2,0,19.4,1009.9,9,0,18,0,270,0,31,5.425,0.3,0.4, , , , ,dly875_westmeath-mullingar.csv
29-Nov-73,0,7.6,0,0.8,1,-0.8,0,0.8,1008.4,3.9,0,14,0,20,0,24,5.9,0.1,0.2, , , , ,dly875_westmeath-mullingar.csv
30-Nov-73,0,3.7,0,1.1,0,2.1,0,8.4,1007.2,7.8,0,14,0,120,0,22,4.675,0.3,0.4, , , , ,dly875_westmeath-mullingar.csv
01-Dec-73,0,3.1,1,-6.8,0,0.2,0,10.9,1011.9,6,2,14,2,120,2,20,2.7,0,0, , , , ,dly875_westmeath-mullingar.csv
02-Dec-73,0,4.2,1,-7.8,1,-11.2,0,1,1022.6,5.8,0,15,0,230,0,23,1.675,0.1,0.1, , , , ,dly875_westmeath-mullingar.csv
03-Dec-73,0,9.3,0,4,1,-7.3,2,0,1018.2,10.8,0,15,0,270,0,26,4.275,0.2,0.2, , , , ,dly875_westmeath-mullingar.csv
04-Dec-73,0,9.8,0,7.5,0,7.2,0,1.4,1016.8,9.8,0,20,0,280,0,32,7.15,0.3,0.4, , , , ,dly875_westmeath-mullingar.csv
05-Dec-73,0,10,0,5.5,0,4.4,0,0.1,1009.8,8.9,0,16,0,280,0,29,6.875,0.2,0.3, , , , ,dly875_westmeath-mullingar.csv
06-Dec-73,0,9.1,0,4,0,2.3,0,4.7,1003.8,8.2,0,15,0,280,0,28,5.85,0.2,0.3, , , , ,dly875_westmeath-mullingar.csv
07-Dec-73,0,11.6,0,3.9,0,3.9,0,11.5,990.1,10.2,0,19,0,290,0,39,6.525,0.3,0.4, , , , ,dly875_westmeath-mullingar.csv
08-Dec-73,0,5.8,1,-2.1,1,-0.3,0,0.3,998.3,8.2,0,24,0,350,0,43,4.3,0,0, , , , ,dly875_westmeath-mullingar.csv
09-Dec-73,0,6.9,1,-2.2,1,-4.3,0,0.1,1008.9,9.6,0,17,0,200,0,32,2.8,0.4,0.5, , , , ,dly875_westmeath-mullingar.csv
10-Dec-73,0,10,0,4.4,1,-0.3,0,4.1,1000.9,14.4,0,23,0,200,0,36,5.575,0.4,0.6, , , , ,dly875_westmeath-mullingar.csv
11-Dec-73,0,7.1,0,1.6,1,-0.3,3,0,1006.8,9,0,14,0,270,0,24,4.025,0.1,0.1, , , , ,dly875_westmeath-mullingar.csv
12-Dec-73,0,8.8,0,0.4,1,-0.8,0,5.2,1006.2,14.8,0,26,0,260,0,48,4.125,0.3,0.5, , , , ,dly875_westmeath-mullingar.csv
13-Dec-73,0,10.5,0,7,0,5.2,0,2.2,1004,17,0,23,0,290,0,44,6,0.8,1.1, , , , ,dly875_westmeath-mullingar.csv
14-Dec-73,0,7.6,1,-1.9,0,5.3,0,0.1,1010.8,11.8,0,20,0,340,0,39,5.3,0.4,0.5, , , , ,dly875_westmeath-mullingar.csv
15-Dec-73,0,10,1,-4.3,1,-5.8,0,1.5,1006.3,11,0,22,0,260,0,37,3.3,0.3,0.4, , , , ,dly875_westmeath-mullingar.csv
16-Dec-73,0,9.8,0,1.7,0,0.2,0,0.4,996,13.2,0,19,0,290,0,34,4.95,0.1,0.1, , , , ,dly875_westmeath-mullingar.csv
17-Dec-73,0,4.6,0,1.6,1,-0.2,0,0.3,998.2,10.3,0,16,0,290,0,27,3,0.4,0.4, , , , ,dly875_westmeath-mullingar.csv
18-Dec-73,0,6.5,1,-1,1,-3,0,0.9,988,7.6,0,15,0,140,0,24,2.475,0.1,0.2, , , , ,dly875_westmeath-mullingar.csv
19-Dec-73,0,8.7,0,6.3,1,-1.4,0,6.5,972.8,14.2,0,21,0,140,0,32,5.225,0.4,0.5, , , , ,dly875_westmeath-mullingar.csv
20-Dec-73,0,8.2,0,5,0,6.4,0,3.7,971.8,5.1,0,9,0,150,0,13,6.425,0.2,0.3, , , , ,dly875_westmeath-mullingar.csv
21-Dec-73,0,5.6,0,4.5,0,4.8,0,2.6,970.2,4.8,0,12,0,240,0,21,5.8,0.1,0.2, , , , ,dly875_westmeath-mullingar.csv
22-Dec-73,0,4.6,1,-0.4,1,-1.8,0,0.2,966.4,5.2,0,10,0,350,0,22,4.1,0,0, , , , ,dly875_westmeath-mullingar.csv
23-Dec-73,0,4.3,1,-0.5,1,-0.8,0,1,975.9,4.2,0,11,0,350,0,20,3.375,0.2,0.2, , , , ,dly875_westmeath-mullingar.csv
